         t        T1        T2        T3        T4        T5        T6        T7        T8        T9       T10  T_frontera
    5.1500    0.0000   12.3172   24.3165   35.6989   46.2001   55.6018   63.7370   70.4889   75.7841   79.5823     82.6263
    5.2000    0.0000   12.2540   24.1938   35.5236   45.9812   55.3495   63.4612   70.1983   75.4851   79.2795     82.3215
    5.2500    0.0000   12.1915   24.0725   35.3500   45.7643   55.0991   63.1871   69.9089   75.1871   78.9772     82.0169
    5.3000    0.0000   12.1298   23.9525   35.1783   45.5494   54.8507   62.9147   69.6208   74.8899   78.6754     81.7123
    5.3500    0.0000   12.0687   23.8337   35.0082   45.3364   54.6042   62.6440   69.3341   74.5936   78.3741     81.4080
    5.4000    0.0000   12.0083   23.7162   34.8397   45.1252   54.3595   62.3748   69.0486   74.2983   78.0734     81.1040
    5.4500    0.0000   11.9485   23.5999   34.6729   44.9159   54.1166   62.1073   68.7644   74.0038   77.7732     80.8002
    5.5000    0.0000   11.8894   23.4848   34.5077   44.7083   53.8755   61.8414   68.4815   73.7103   77.4737     80.4967
    5.5500    0.0000   11.8309   23.3709   34.3440   44.5025   53.6361   61.5770   68.1999   73.4177   77.1748     80.1936
    5.6000    0.0000   11.7730   23.2581   34.1818   44.2983   53.3984   61.3141   67.9195   73.1260   76.8765     79.8908
    5.6500    0.0000   11.7157   23.1464   34.0211   44.0959   53.1623   61.0528   67.6403   72.8353   76.5789     79.5884
    5.7000    0.0000   11.6590   23.0357   33.8618   43.8950   52.9279   60.7930   67.3624   72.5455   76.2819     79.2865
    5.7500    0.0000   11.6028   22.9261   33.7039   43.6957   52.6952   60.5346   67.0858   72.2566   75.9857     78.9850
    5.8000    0.0000   11.5472   22.8175   33.5474   43.4980   52.4639   60.2777   66.8103   71.9687   75.6901     78.6839
    5.8500    0.0000   11.4921   22.7099   33.3922   43.3018   52.2343   60.0221   66.5361   71.6818   75.3953     78.3834
    5.9000    0.0000   11.4375   22.6033   33.2383   43.1071   52.0061   59.7681   66.2630   71.3958   75.1012     78.0834
    5.9500    0.0000   11.3834   22.4976   33.0857   42.9139   51.7794   59.5154   65.9912   71.1108   74.8078     77.7840
    6.0000    0.0000   11.3298   22.3928   32.9343   42.7221   51.5542   59.2640   65.7205   70.8268   74.5152     77.4851
    6.0500    0.0000   11.2767   22.2890   32.7842   42.5316   51.3305   59.0140   65.4511   70.5437   74.2234     77.1868
    6.1000    0.0000   11.2240   22.1860   32.6352   42.3426   51.1081   58.7654   65.1828   70.2616   73.9324     76.8892
    6.1500    0.0000   11.1718   22.0839   32.4874   42.1549   50.8872   58.5181   64.9157   69.9805   73.6421     76.5921
    6.2000    0.0000   11.1201   21.9826   32.3408   41.9685   50.6676   58.2721   64.6497   69.7003   73.3527     76.2957
    6.2500    0.0000   11.0688   21.8821   32.1952   41.7834   50.4493   58.0273   64.3849   69.4212   73.0641     76.0000
    6.3000    0.0000   11.0179   21.7825   32.0508   41.5996   50.2324   57.7839   64.1212   69.1430   72.7763     75.7050
    6.3500    0.0000   10.9675   21.6836   31.9074   41.4170   50.0168   57.5417   63.8586   68.8658   72.4894     75.4106
