     Tiempo (s)   Velocidad_real (m/s)   Velocidad_ruido (m/s)
       35.70000            62.55692233             61.97960505
       35.80000            62.56047042             63.20590754
       35.90000            62.56396307             60.90950118
       36.00000            62.56740115             63.60609418
       36.10000            62.57078551             65.63626333
       36.20000            62.57411698             62.35659668
       36.30000            62.57739640             63.38081985
       36.40000            62.58062458             63.96091257
       36.50000            62.58380233             61.78136138
       36.60000            62.58693041             63.03511538
       36.70000            62.59000963             62.61519443
       36.80000            62.59304073             62.78839292
       36.90000            62.59602446             61.05000490
       37.00000            62.59896158             62.64798193
       37.10000            62.60185281             63.59784939
       37.20000            62.60469886             65.50698607
       37.30000            62.60750044             64.52604209
       37.40000            62.61025824             66.91662316
       37.50000            62.61297296             61.07827783
       37.60000            62.61564526             64.36028653
       37.70000            62.61827580             62.98495981
       37.80000            62.62086524             67.00047111
       37.90000            62.62341422             61.00681765
       38.00000            62.62592337             60.94647969
       38.10000            62.62839332             61.42960803
       38.20000            62.63082467             58.38303323
       38.30000            62.63321804             61.58170800
       38.40000            62.63557401             61.11730868
       38.50000            62.63789316             62.93868074
       38.60000            62.64017608             63.32368803
       38.70000            62.64242333             66.39476501
       38.80000            62.64463547             64.54548314
       38.90000            62.64681304             61.49300573
       39.00000            62.64895658             60.85212724
       39.10000            62.65106664             63.63490498
       39.20000            62.65314372             60.01267731
       39.30000            62.65518835             66.31810588
       39.40000            62.65720103             65.01608127
       39.50000            62.65918227             61.72083096
       39.60000            62.66113254             59.23486349
       39.70000            62.66305235             65.37079710
       39.80000            62.66494215             62.43586246
       39.90000            62.66680243             65.14243506
       40.00000            62.66863365             59.47977833
       40.10000            62.67043624             61.47168620
       40.20000            62.67221068             62.68269808
       40.30000            62.67395739             62.76791857
       40.40000            62.67567680             61.77554586
       40.50000            62.67736935             63.92306922
       40.60000            62.67903546             60.54379460
       40.70000            62.68067553             62.39591656
       40.80000            62.68228997             62.92288124
       40.90000            62.68387919             63.71275686
       41.00000            62.68544358             64.10867334
       41.10000            62.68698352             60.43769934
       41.20000            62.68849941             59.62027106
       41.30000            62.68999160             65.24534525
       41.40000            62.69146048             63.35608851
       41.50000            62.69290641             61.19593334
       41.60000            62.69432975             65.79663370
       41.70000            62.69573085             62.92708012
       41.80000            62.69711005             65.05570442
       41.90000            62.69846771             62.83350467
       42.00000            62.69980415             66.82130000
       42.10000            62.70111971             66.21180140
       42.20000            62.70241472             62.20448642
       42.30000            62.70368949             64.64683139
       42.40000            62.70494434             63.99569624
       42.50000            62.70617958             65.44344270
       42.60000            62.70739553             60.77754861
       42.70000            62.70859247             64.08069539
       42.80000            62.70977071             64.82661969
       42.90000            62.71093055             59.19345157
       43.00000            62.71207226             60.34555523
       43.10000            62.71319613             58.63473177
       43.20000            62.71430244             62.17548877
       43.30000            62.71539146             64.15047597
       43.40000            62.71646347             65.72117758
       43.50000            62.71751873             62.86570829
       43.60000            62.71855750             65.97578859
       43.70000            62.71958004             59.95937712
       43.80000            62.72058660             59.31382172
       43.90000            62.72157743             62.61048204
       44.00000            62.72255279             63.49068369
       44.10000            62.72351290             62.65812340
       44.20000            62.72445801             58.58957381
       44.30000            62.72538835             62.54714828
       44.40000            62.72630416             60.11736516
       44.50000            62.72720566             64.06655076
       44.60000            62.72809307             63.46128956
       44.70000            62.72896662             60.84920704
       44.80000            62.72982651             61.70209268
       44.90000            62.73067297             60.61224593
       45.00000            62.73150621             62.60614801
       45.10000            62.73232642             64.64261106
       45.20000            62.73313382             60.76168173
       45.30000            62.73392861             63.74202164
       45.40000            62.73471097             61.67419574
       45.50000            62.73548111             61.14973545
       45.60000            62.73623922             62.52217850
       45.70000            62.73698548             60.66650084
       45.80000            62.73772009             61.63042147
       45.90000            62.73844321             60.34268742
       46.00000            62.73915503             66.66860530
       46.10000            62.73985574             62.81038284
       46.20000            62.74054549             61.34109447
       46.30000            62.74122447             63.16918429
