         t        T1        T2        T3        T4        T5        T6        T7        T8        T9       T10  T_frontera
    7.9500    0.0000    9.5113   18.8210   27.7331   36.0622   43.6380   50.3090   55.9451   60.4387   63.7064     66.3491
    8.0000    0.0000    9.4710   18.7415   27.6165   35.9115   43.4570   50.1020   55.7166   60.1935   63.4493     66.0825
    8.0500    0.0000    9.4309   18.6624   27.5005   35.7616   43.2769   49.8959   55.4891   59.9493   63.1931     65.8168
    8.1000    0.0000    9.3910   18.5837   27.3851   35.6124   43.0977   49.6908   55.2625   59.7060   62.9379     65.5520
    8.1500    0.0000    9.3513   18.5054   27.2703   35.4640   42.9192   49.4865   55.0368   59.4637   62.6836     65.2882
    8.2000    0.0000    9.3119   18.4276   27.1561   35.3163   42.7416   49.2831   54.8121   59.2223   62.4303     65.0254
    8.2500    0.0000    9.2727   18.3501   27.0424   35.1693   42.5649   49.0806   54.5884   58.9819   62.1780     64.7635
    8.3000    0.0000    9.2336   18.2731   26.9293   35.0231   42.3889   48.8790   54.3655   58.7424   61.9266     64.5026
    8.3500    0.0000    9.1948   18.1965   26.8168   34.8775   42.2138   48.6783   54.1436   58.5039   61.6761     64.2426
    8.4000    0.0000    9.1562   18.1202   26.7049   34.7326   42.0394   48.4785   53.9226   58.2663   61.4267     63.9835
    8.4500    0.0000    9.1177   18.0443   26.5935   34.5884   41.8659   48.2795   53.7025   58.0296   61.1781     63.7255
    8.5000    0.0000    9.0795   17.9688   26.4827   34.4449   41.6931   48.0814   53.4833   57.7939   60.9305     63.4684
    8.5500    0.0000    9.0415   17.8937   26.3723   34.3021   41.5211   47.8841   53.2650   57.5591   60.6839     63.2122
    8.6000    0.0000    9.0036   17.8190   26.2626   34.1600   41.3499   47.6877   53.0477   57.3252   60.4382     62.9570
    8.6500    0.0000    8.9660   17.7446   26.1533   34.0185   41.1795   47.4921   52.8312   57.0923   60.1934     62.7027
    8.7000    0.0000    8.9285   17.6707   26.0446   33.8776   41.0098   47.2974   52.6156   56.8603   59.9496     62.4494
    8.7500    0.0000    8.8912   17.5970   25.9364   33.7375   40.8409   47.1035   52.4009   56.6292   59.7067     62.1971
    8.8000    0.0000    8.8541   17.5237   25.8288   33.5980   40.6727   46.9105   52.1871   56.3991   59.4648     61.9457
    8.8500    0.0000    8.8172   17.4508   25.7216   33.4591   40.5053   46.7182   51.9742   56.1698   59.2238     61.6952
    8.9000    0.0000    8.7805   17.3783   25.6149   33.3208   40.3387   46.5268   51.7621   55.9415   58.9837     61.4457
    8.9500    0.0000    8.7440   17.3060   25.5088   33.1832   40.1727   46.3363   51.5509   55.7140   58.7445     61.1972
    9.0000    0.0000    8.7076   17.2342   25.4031   33.0462   40.0075   46.1465   51.3406   55.4875   58.5063     60.9495
    9.0500    0.0000    8.6714   17.1626   25.2980   32.9099   39.8431   45.9575   51.1312   55.2619   58.2691     60.7029
    9.1000    0.0000    8.6354   17.0915   25.1933   32.7741   39.6793   45.7694   50.9226   55.0372   58.0327     60.4572
    9.1500    0.0000    8.5995   17.0206   25.0891   32.6390   39.5163   45.5820   50.7149   54.8134   57.7973     60.2124
    9.2000    0.0000    8.5638   16.9501   24.9854   32.5045   39.3540   45.3954   50.5080   54.5904   57.5627     59.9685
    9.2500    0.0000    8.5283   16.8799   24.8821   32.3706   39.1924   45.2096   50.3020   54.3684   57.3292     59.7256
    9.3000    0.0000    8.4930   16.8100   24.7794   32.2372   39.0315   45.0247   50.0968   54.1473   57.0965     59.4837
    9.3500    0.0000    8.4578   16.7405   24.6771   32.1045   38.8713   44.8404   49.8925   53.9270   56.8647     59.2426
    9.4000    0.0000    8.4228   16.6713   24.5752   31.9724   38.7117   44.6570   49.6890   53.7076   56.6339     59.0025
    9.4500    0.0000    8.3879   16.6024   24.4739   31.8408   38.5529   44.4743   49.4863   53.4892   56.4039     58.7633
